vendor_name,category
Masakha - Seafood Resto & Bar,Food
Samarth Food Junction,Food
P K Biryani House,Food
Chandani Restaurant & Bar,Food
Nisarga,Food
Abhishek Veg Restaurant,Food
Cafe Kallol,Food
Durga Cafe,Food
Gitanjalee Paratha House,Food
Maankar Dosa Center,Food
Rajwadi Chaiwala,Food
Cafe Peter,Food
Ganesh Food Court,Food
Hotel Al Zaika,Food
Sawai Veg,Food
Welcome to Khaugalli,Food
Hotel Samudra,Food
Kimaya Veg Restaurants,Food
Barberry Lounge,Food
The Verandah,Food
Cafe Pimlico,Food
Maratha Darbar,Food
Roots 9 Kitchen and Bar,Food
Multi Spice Lawn,Food
Code The Speakeasy Bar,Food
Shraddha Restaurant,Food
Cuisine & Co,Food
Farmers Choice,Food
The Veg Choice,Food
Bacharika - ROoftop Bar and Kitchen,Food
The Green Roof,Food
Satkar Rice Plate House,Food
Mystic Flavors,Food
Level 5 Bistro and Bar,Food
Palavi Pure Veg,Food
Sheetal Pav Bhaji Centre,Food
Cummins Cafe Katta,Food
Naivedyam Restaurant,Food
Maurya Multi Cuisien Family Restaurant,Food
Shorba the Family Restaurant,Food
Nation 52,Food
Aroma Hyderabad House,Food
Atithi Veg,Food
Koliwada Veg and Non Veg,Food
Oblique Kitchen,Food
Babylon Brewery,Food
Konkan Express Restaurant,Food
Mamledaar Misal,Food
Meridian Icecream,Food
Samarth Veg Restaurant,Food
Harvest Club Restaurant and Bar,Food
The Coriander Leaf,Food
Paradise Kitchen Hyderabadi Biryani,Food
Sairat Biryani,Food
Kadak Special Tea House,Food
Gurukrupa Tea House,Food
Thali and Co,Food
Khandesh Express,Food
Anandi Dining Hall,Food
Swarnaa Vegetarian,Food
Katakirr Misal,Food
Vishnuji ki Rasoi,Food
Tiranga Bhuvan,Food
Hotel Apulki,Food
Saandan,Food
Methkut,Food
Sweekar Veg Restaurant,Food
Nipr Bar,Food
Kanishk Restaurant and Bar,Food
Hotel Khandesh Express,Food
Madhur Mila,Food
Potoba Gharachi Aathwan,Food
Haveli Unlimited,Food
mahesh Lunch Home,Food
Girija Family Restaurant,Food
Palange Biryani,Food
Prasann Snacks,Food
Hotel Gurudatta Pure Veg,Food
Upsouth,Food
Simply South,Food
Bangalore Canteen,Food
Ratna Veg Cuisine,Food
Pruthvi Vegertarianism,Food
Naadbrahma Idli,Food
Janjira Sea Food,Food
Mumma Kitchen,Food
Hotel Malabar,Food
Sumadhu Veg Restaurant,Food
Kavi Restaurant,Food
Mealful Wrap meals,Food
Hotel Omkar,Food
